"name[Blue Spice], eatType[coffee shop], area[city centre]"	A coffee shop in the city centre area called Blue Spice.
"name[Blue Spice], eatType[coffee shop], area[city centre]"	Blue Spice is a coffee shop in city centre.
"name[Blue Spice], eatType[coffee shop], area[riverside]"	There is a coffee shop Blue Spice in the riverside area.
"name[Blue Spice], eatType[coffee shop], area[riverside]"	"At the riverside, there is a coffee shop called The Blue Spice."
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	The coffee shop Blue Spice is based near Crowne Plaza Hotel and has a high customer rating of 5 out of 5.
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	"The Blue Spice coffee shop, near Crowne Plaza Hotel, has a customer rating of 5 out of 5."
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	If you want a coffee shop rated 5 out of 5 pick Blue Spice. It is located near Crowne Plaza Hotel.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]"	Burger King is near the coffee shop Blue Spice which has an average customer rating.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]"	"The Blue Spice coffee shop near Burger King has good customer ratings with excellent food and service, with a lovely atmosphere."
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]"	Average customer rating coffee shop include Blue Spice near Burger King.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]"	The Blue Spice coffee shop located near Burger King has been rated average by customers.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]"	Located near Burger King is a coffee shop named Blue Spice that has an average customer rating.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]"	Near Burger King is a coffee shop called Blue Spice which has an average customer rating.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]"	Near Burger King is the Blue Spice coffee shop.  It has average customer ratings.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]"	Crowne Plaza Hotel has a coffee shop nearby with an average customer rating called Blue Spice.
"name[Blue Spice], eatType[pub], area[city centre]"	A pub in the city centre area called Blue Spice.
"name[Blue Spice], eatType[pub], area[city centre]"	Blue Spice is a pub in city centre.
"name[Blue Spice], eatType[pub], area[riverside]"	There is a pub Blue Spice in the riverside area.
"name[Blue Spice], eatType[pub], area[riverside]"	"At the riverside, there is a pub called The Blue Spice."
"name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	The pub Blue Spice is based near Crowne Plaza Hotel and has a high customer rating of 5 out of 5.
"name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	"The Blue Spice pub, near Crowne Plaza Hotel, has a customer rating of 5 out of 5."
"name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	If you want a pub rated 5 out of 5 pick Blue Spice. It is located near Crowne Plaza Hotel.
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]"	Burger King is near the pub Blue Spice which has an average customer rating.
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]"	"The Blue Spice pub near Burger King has good customer ratings with excellent food and service, with a lovely atmosphere."
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]"	Average customer rating pub include Blue Spice near Burger King.
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]"	The Blue Spice pub located near Burger King has been rated average by customers.
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]"	Located near Burger King is a pub named Blue Spice that has an average customer rating.
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]"	Near Burger King is a pub called Blue Spice which has an average customer rating.
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]"	Near Burger King is the Blue Spice pub.  It has average customer ratings.
"name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]"	Crowne Plaza Hotel has a pub nearby with an average customer rating called Blue Spice.
